idPan;panNome;panNomeCompleto;panNomeFantasia;panAbrangenciaTaxonomica;panAbrangenciaGeografica;panCiclo;panStatus;panCentro;panInicioData;panInicioAno;Data da portaria vigente do PAN;"Data do início da vigência do PAN na portaria 
(último artigo da portaria)";panFimData;panFimAno;panPortaria;panProcesso;panLogo;panSite
CEMAVE_20.01;Aves da Mata Atlântica;Plano de Ação Nacional para Conservação das Aves da Mata Atlântica;Aves da Mata Atlântica;Intraclasse;Bioma;1º ciclo;Em execução;CEMAVE;24/01/2017;2017;14/03/2018;14/03/2018;01/02/2022;2022;Portaria 208 (14/03/2018);02061.000001/2014-79;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_20-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-mata-atlantica
CEMAVE_21.02;Papagaios - 2º ciclo;Plano de Ação Nacional para a Conservação dos Papagaios;Papagaios;Intraclasse;Nacional;2º ciclo;Em execução;CEMAVE;17/08/2017;2017;17/08/2017;17/08/2017;01/08/2022;2022;Portaria 530 (17/08/2017);02061.000013/2017-46;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_21-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-papagaios
CEMAVE_22.02;Aves dos Campos Sulinos - 2º ciclo;Plano de Ação Nacional para a Conservação das Aves dos Campos Sulinos;Aves dos Campos Sulinos;Intraclasse;Ecossistema;2º ciclo;Em execução;CEMAVE;26/12/2017;2017;26/12/2017;26/12/2017;01/02/2023;2023;Portaria 856 (26/12/2017);02061.000060/2017-90;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_22-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-dos-campos-sulinos
CEMAVE_23.02;Pato-mergulhão - 2º ciclo;Plano de Ação Nacional para a Conservação do Pato-mergulhão;Pato-mergulhão;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CEMAVE;08/02/2018;2018;08/02/2018;08/02/2018;01/01/2023;2023;Portaria 122 (08/02/2018);02061.000077/2017-47;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_23-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-pato-mergulhao
CEMAVE_24.01;Aves Marinhas;Plano de Ação Nacional para a Conservação das Aves Marinhas;Aves Marinhas;Intraclasse;Bioma;1º ciclo;Em execução;CEMAVE;04/04/2018;2018;04/04/2018;04/04/2018;01/03/2023;2023;Portaria 286 (04/04/2018);02061.000847/2017-51;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_24-01.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-marinhas
CEMAVE_25.02;Aves da Caatinga - 2º ciclo;Plano de Ação Nacional para Conservação das Aves da Caatinga;Aves da Caatinga;Intraclasse;Bioma;2º ciclo;Em execução;CEMAVE;09/04/2018;2018;09/04/2018;09/04/2018;01/02/2023;2023;Portaria 304 (09/04/2018);02061.000832/2017-93;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_25-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-da-caatinga
CEMAVE_26.03;Albatrozes e Petréis - 3º ciclo;Plano de Ação Nacional para a Conservação dos Albatrozes e Petréis;Albatrozes e Petréis;Intraclasse;Bioma;3º ciclo;Em execução;CEMAVE;24/04/2018;2018;24/04/2018;24/04/2018;01/05/2023;2023;Portaria 378 (24/04/2018);02061.000878/2017-11;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_26-03.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-albatrozes-e-petreis
CEMAVE_27.02;Ararinha-azul - 2º ciclo;Plano de Ação Nacional para a Conservação da Ararinha-azul;Ararinha-azul;Monoespecífico;Específico (distribuição da espécie);2º ciclo;Em execução;CEMAVE;25/07/2019;2019;25/07/2019;25/07/2019;01/07/2024;2024;Portaria 353 (25/07/2019);02061.000869/2017-11;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_27-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-ararinha-azul
CEMAVE_28.02;Aves Limícolas Migratórias - 2º ciclo;Plano de Ação Nacional para Conservação das Aves Limícolas Migratórias;Aves Limícolas Migratórias;Intraclasse;Nacional;2º ciclo;Em execução;CEMAVE;10/09/2019;2019;10/09/2019;10/09/2019;01/09/2024;2024;Portaria 491 (10/09/2019);02061.000030/2019-45;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/img/logo/cemave_28-02.png;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-limicolas-migratorias
CEMAVE_29.02;(Elaborado) Aves do Cerrado e Pantanal - 2º ciclo;Plano de Ação Nacional para Conservação das Aves do Cerrado e Pantanal;Aves do Cerrado e Pantanal;Intraclasse;Bioma;2º ciclo;Previsto;CEMAVE;Previsto;Previsto;;;;;;;;https://www.gov.br/icmbio/pt-br/assuntos/biodiversidade/pan/pan-aves-do-cerrado-e-pantanal
